PLACENS,GEOID,NAMELSAD,CLASSFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID *,SHAPE *
02391499,3600199,Adams village,C1,A,3742271,0,+43.8102182,-76.0229784,1,Polygon
02391500,3600276,Addison village,C1,A,4902284,0,+42.1063210,-77.2319899,2,Polygon
02391501,3600342,Afton village,C1,A,3953884,189228,+42.2291991,-75.5247501,3,Polygon
02391502,3600408,Airmont village,C1,A,11823716,4574,+41.0991558,-74.0979158,4,Polygon
02391503,3600441,Akron village,C1,A,5209767,0,+43.0179568,-78.4978033,5,Polygon
00978659,3601000,Albany city,C5,A,55435357,1377120,+42.6657453,-73.7983532,6,Polygon
02391504,3601033,Albion village,C1,A,7561709,0,+43.2460241,-78.1901999,7,Polygon
02391505,3601088,Alden village,C1,A,7040219,0,+42.8988786,-78.4946069,8,Polygon
02391506,3601154,Alexander village,C1,A,1132465,0,+42.9020210,-78.2591135,9,Polygon
02391507,3601187,Alexandria Bay village,C1,A,1940695,1963648,+44.3372212,-75.9227072,10,Polygon
02391508,3601198,Alfred village,C1,A,3081683,0,+42.2543333,-77.7896461,11,Polygon
02391509,3601286,Allegany village,C1,A,2008354,18572,+42.0906485,-78.4896325,12,Polygon
02391510,3601440,Almond village,C1,A,1461648,0,+42.3193252,-77.7386085,13,Polygon
02391511,3601517,Altamont village,C1,A,3279144,3689,+42.7053446,-74.0336330,14,Polygon
02391513,3601737,Ames village,C1,A,338514,0,+42.8374690,-74.6016809,15,Polygon
02391514,3602044,Amityville village,C1,A,5324065,1082191,+40.6698436,-73.4157871,16,Polygon
00978677,3602066,Amsterdam city,C5,A,15208935,1003058,+42.9416277,-74.1905662,17,Polygon
02391515,3602143,Andover village,C1,A,2592521,39365,+42.1569955,-77.7960981,18,Polygon
02391516,3602176,Angelica village,C1,A,5573332,0,+42.3055058,-78.0206449,19,Polygon
02391517,3602198,Angola village,C1,A,3669096,0,+42.6378853,-79.0295159,20,Polygon
02391518,3602286,Antwerp village,C1,A,2598790,75433,+44.1995381,-75.6089707,21,Polygon
02391519,3602407,Arcade village,C1,A,6861862,8312,+42.5305944,-78.4418086,22,Polygon
02391523,3602506,Ardsley village,C1,A,3421377,0,+41.0134787,-73.8392888,23,Polygon
02391524,3602550,Argyle village,C1,A,820344,0,+43.2363452,-73.4907390,24,Polygon
02391525,3602583,Arkport village,C1,A,1798179,0,+42.3925958,-77.6954819,25,Polygon
02391526,3602737,Asharoken village,C1,A,3683558,13114076,+40.9392698,-73.3850603,26,Polygon
02391527,3602902,Athens village,C1,A,8856682,3068558,+42.2710296,-73.8159333,27,Polygon
02391528,3602968,Atlantic Beach village,C1,A,1137583,1506193,+40.5860567,-73.7250967,28,Polygon
02391529,3603001,Attica village,C1,A,4379660,0,+42.8640968,-78.2798144,29,Polygon
00978695,3603078,Auburn city,C5,A,21588471,195995,+42.9338003,-76.5671806,30,Polygon
02391530,3603188,Aurora village,C1,A,2380400,77,+42.7521924,-76.6984386,31,Polygon
02391531,3603331,Avoca village,C1,A,3434115,5514,+42.4148832,-77.4248348,32,Polygon
02391532,3603353,Avon village,C1,A,8148997,0,+42.9128422,-77.7464901,33,Polygon
02391533,3603408,Babylon village,C1,A,6243579,994912,+40.6936792,-73.3260004,34,Polygon
02391534,3604033,Bainbridge village,C1,A,3403618,102212,+42.3018069,-75.4797559,35,Polygon
02391535,3604198,Baldwinsville village,C1,A,8261134,452257,+43.1597060,-76.3384644,36,Polygon
02391536,3604253,Ballston Spa village,C1,A,4145396,23918,+43.0056402,-73.8544584,37,Polygon
02391538,3604440,Barker village,C1,A,1087358,0,+43.3283276,-78.5535349,38,Polygon
00978713,3604715,Batavia city,C5,A,13456004,209531,+42.9985582,-78.1808064,39,Polygon
02391540,3604759,Bath village,C1,A,8216565,915,+42.3360928,-77.3168595,40,Polygon
02391541,3604803,Baxter Estates village,C1,A,472627,0,+40.8337710,-73.6947594,41,Polygon
02391542,3605034,Bayville village,C1,A,3769718,247886,+40.9072567,-73.5611660,42,Polygon
00978716,3605100,Beacon city,C5,A,12273969,353971,+41.5032396,-73.9647353,43,Polygon
02391545,3605639,Bellerose village,C1,A,325374,0,+40.7242750,-73.7166744,44,Polygon
02391544,3605672,Belle Terre village,C1,A,2291699,0,+40.9606977,-73.0672743,45,Polygon
02391546,3605771,Bellport village,C1,A,3755084,211385,+40.7509502,-72.9413254,46,Polygon
02391547,3605815,Belmont village,C1,A,2579199,4170,+42.2201045,-78.0307937,47,Polygon
02391548,3605848,Bemus Point village,C1,A,1086201,0,+42.1632486,-79.3894759,48,Polygon
02391549,3606046,Bergen village,C1,A,1907749,0,+43.0826010,-77.9424576,49,Polygon
00978733,3606607,Binghamton city,C5,A,27141216,1675760,+42.1013306,-75.9093694,50,Polygon
02391551,3606794,Black River village,C1,A,4613749,271126,+44.0095252,-75.7964631,51,Polygon
02391552,3606849,Blasdell village,C1,A,2910121,0,+42.7965190,-78.8324004,52,Polygon
02391553,3606945,Bloomfield village,C1,A,3613356,0,+42.8991199,-77.4241336,53,Polygon
02391554,3606959,Bloomingburg village,C1,A,1782479,0,+41.5519473,-74.4437581,54,Polygon
02391555,3607190,Bolivar village,C1,A,2063530,0,+42.0684215,-78.1662121,55,Polygon
02391556,3607355,Boonville village,C1,A,4479011,11565,+43.4808621,-75.3296356,56,Polygon
02391557,3608070,Brewster village,C1,A,1270510,9659,+41.3961620,-73.6162687,57,Polygon
02391558,3608103,Briarcliff Manor village,C1,A,15527998,2167717,+41.1403331,-73.8475045,58,Polygon
02391560,3608323,Brightwaters village,C1,A,2500948,58407,+40.7164346,-73.2615138,59,Polygon
02391561,3608422,Broadalbin village,C1,A,3500673,10482,+43.0555326,-74.1954215,60,Polygon
02391562,3608466,Brockport village,C1,A,5631325,122682,+43.2132974,-77.9408242,61,Polygon
02391563,3608488,Brocton village,C1,A,4581468,0,+42.3897190,-79.4428152,62,Polygon
02391564,3608532,Bronxville village,C1,A,2518650,0,+40.9394931,-73.8264399,63,Polygon
02391565,3610132,Brookville village,C1,A,10223878,29514,+40.8079116,-73.5701220,64,Polygon
02391566,3610231,Brownville village,C1,A,1615905,33989,+44.0053068,-75.9830702,65,Polygon
02391567,3610286,Brushton village,C1,A,715859,0,+44.8306806,-74.5119078,66,Polygon
02391568,3610341,Buchanan village,C1,A,3666065,865561,+41.2631679,-73.9449660,67,Polygon
00978764,3611000,Buffalo city,C5,A,104577537,31344742,+42.8924919,-78.8596862,68,Polygon
02391569,3611132,Burdett village,C1,A,2491251,0,+42.4168725,-76.8439630,69,Polygon
02391570,3611154,Burke village,C1,A,754632,0,+44.9031460,-74.1699785,70,Polygon
02391571,3611704,Caledonia village,C1,A,5434655,0,+42.9754671,-77.8570795,71,Polygon
02391572,3611825,Cambridge village,C1,A,4469435,0,+43.0279751,-73.3812963,72,Polygon
02391573,3611847,Camden village,C1,A,6309841,0,+43.3364774,-75.7477298,73,Polygon
02391574,3611902,Camillus village,C1,A,1050759,0,+43.0386629,-76.3099282,74,Polygon
02391575,3612111,Canajoharie village,C1,A,3446733,176039,+42.8990805,-74.5678692,75,Polygon
00978784,3612144,Canandaigua city,C5,A,11811298,691411,+42.8889987,-77.2803208,76,Polygon
02391576,3612177,Canaseraga village,C1,A,2751303,0,+42.4617618,-77.7772703,77,Polygon
02391577,3612188,Canastota village,C1,A,8649529,11227,+43.0841487,-75.7554947,78,Polygon
02391578,3612210,Candor village,C1,A,1128448,0,+42.2283950,-76.3366715,79,Polygon
02391579,3612254,Canisteo village,C1,A,2418195,0,+42.2703537,-77.6056583,80,Polygon
02391580,3612331,Canton village,C1,A,10735364,333071,+44.5999950,-75.1665845,81,Polygon
02391581,3612353,Cape Vincent village,C1,A,1821359,66422,+44.1231968,-76.3307343,82,Polygon
02391582,3612683,Carthage village,C1,A,6281511,423856,+43.9828761,-75.6030119,83,Polygon
02391583,3612749,Cassadaga village,C1,A,2189994,562173,+42.3415641,-79.3170230,84,Polygon
02391584,3612771,Castile village,C1,A,3513128,0,+42.6311557,-78.0525886,85,Polygon
02391585,3612870,Castleton-on-Hudson village,C1,A,1848304,2367,+42.5365677,-73.7479239,86,Polygon
02391586,3612881,Castorland village,C1,A,831539,0,+43.8861049,-75.5164385,87,Polygon
02391587,3612958,Cato village,C1,A,2560232,64159,+43.1655676,-76.5675060,88,Polygon
02391588,3613002,Catskill village,C1,A,5904025,1500234,+42.2149014,-73.8586739,89,Polygon
02391589,3613024,Cattaraugus village,C1,A,2894103,5829,+42.3297635,-78.8675189,90,Polygon
02391590,3613068,Cayuga village,C1,A,2340872,1195533,+42.9195478,-76.7279870,91,Polygon
02391591,3613079,Cayuga Heights village,C1,A,4575841,3196,+42.4676754,-76.4884173,92,Polygon
02391592,3613145,Cazenovia village,C1,A,4888199,0,+42.9279158,-75.8513200,93,Polygon
02391593,3613233,Cedarhurst village,C1,A,1747711,0,+40.6252020,-73.7278305,94,Polygon
02391594,3613288,Celoron village,C1,A,1936436,0,+42.1052106,-79.2776909,95,Polygon
02391595,3613585,Central Square village,C1,A,4937155,0,+43.2859860,-76.1418794,96,Polygon
02391596,3613618,Centre Island village,C1,A,2823386,3930,+40.8985460,-73.5219193,97,Polygon
02391597,3613739,Champlain village,C1,A,3774484,94678,+44.9882806,-73.4324289,98,Polygon
02391598,3613981,Chateaugay village,C1,A,2805919,0,+44.9265894,-74.0803981,99,Polygon
02391599,3614003,Chatham village,C1,A,3203527,10919,+42.3618299,-73.5979417,100,Polygon
02391600,3614036,Chaumont village,C1,A,2547061,241948,+44.0683501,-76.1327478,101,Polygon
02391602,3615242,Cherry Valley village,C1,A,1319896,1089,+42.7981799,-74.7521705,102,Polygon
02391603,3615297,Chester village,C1,A,5563811,0,+41.3569418,-74.2769210,103,Polygon
02391604,3615400,Chestnut Ridge village,C1,A,12823782,7328,+41.0849075,-74.0480705,104,Polygon
02391607,3615561,Chittenango village,C1,A,6434352,0,+43.0461412,-75.8747688,105,Polygon
02391608,3615638,Churchville village,C1,A,3083295,45792,+43.1022610,-77.8815861,106,Polygon
02391609,3616089,Clayton village,C1,A,4149907,2519077,+44.2374867,-76.0827342,107,Polygon
02391610,3616111,Clayville village,C1,A,1137342,9911,+42.9779625,-75.2506805,108,Polygon
02391612,3616188,Cleveland village,C1,A,2930380,241687,+43.2400016,-75.8842019,109,Polygon
02391613,3616375,Clifton Springs village,C1,A,3839636,0,+42.9608317,-77.1347885,110,Polygon
02391614,3616419,Clinton village,C1,A,1620972,0,+43.0488663,-75.3784617,111,Polygon
02391615,3616573,Clyde village,C1,A,5693176,153212,+43.0841623,-76.8704301,112,Polygon
02391616,3616628,Cobleskill village,C1,A,9232745,9387,+42.6790021,-74.4852336,113,Polygon
02391617,3616727,Cohocton village,C1,A,3888771,0,+42.4999299,-77.5000062,114,Polygon
00978847,3616749,Cohoes city,C5,A,9771247,1200615,+42.7728670,-73.7077593,115,Polygon
02391618,3616815,Cold Brook village,C1,A,1137492,0,+43.2398746,-75.0388692,116,Polygon
02391619,3616936,Cold Spring village,C1,A,1537737,14144,+41.4192380,-73.9547452,117,Polygon
02391620,3617332,Colonie village,C1,A,8395683,8227,+42.7208726,-73.8317359,118,Polygon
02391621,3617882,Constableville village,C1,A,2896482,0,+43.5648781,-75.4280550,119,Polygon
02391622,3618047,Cooperstown village,C1,A,4233703,544035,+42.6988750,-74.9306589,120,Polygon
02391623,3618135,Copenhagen village,C1,A,3044541,0,+43.8934361,-75.6726175,121,Polygon
02391624,3618201,Corfu village,C1,A,2577324,0,+42.9611626,-78.4026102,122,Polygon
02391625,3618212,Corinth village,C1,A,2762585,102299,+43.2456617,-73.8303482,123,Polygon
00978867,3618256,Corning city,C5,A,7986917,459014,+42.1481948,-77.0564013,124,Polygon
02391626,3618333,Cornwall-on-Hudson village,C1,A,5146045,270738,+41.4335211,-74.0151452,125,Polygon
00978870,3618388,Cortland city,C5,A,10085376,51890,+42.6008656,-76.1791268,126,Polygon
02391627,3618597,Cove Neck village,C1,A,3325818,724189,+40.8857809,-73.4973041,127,Polygon
02391628,3618718,Coxsackie village,C1,A,5620623,1095158,+42.3576277,-73.8079891,128,Polygon
02391629,3619070,Croghan village,C1,A,1123687,0,+43.8945626,-75.3912288,129,Polygon
02391630,3619213,Croton-on-Hudson village,C1,A,12155696,15696268,+41.2096524,-73.9011520,130,Polygon
02391631,3619356,Cuba village,C1,A,3150633,0,+42.2182919,-78.2752112,131,Polygon
02391632,3619642,Dannemora village,C1,A,3127197,0,+44.7197211,-73.7185351,132,Polygon
02391633,3619664,Dansville village,C1,A,6753953,0,+42.5624823,-77.6969270,133,Polygon
02391634,3619994,Deferiet village,C1,A,1747098,203228,+44.0364908,-75.6824270,134,Polygon
02391635,3620082,Delanson village,C1,A,1666892,6970,+42.7480992,-74.1824433,135,Polygon
02391636,3620115,Delevan village,C1,A,2574425,0,+42.4912882,-78.4796033,136,Polygon
02391637,3620126,Delhi village,C1,A,8225825,132064,+42.2774174,-74.9154797,137,Polygon
02391638,3620313,Depew village,C1,A,13147772,0,+42.9117637,-78.7043632,138,Polygon
02391639,3620346,Deposit village,C1,A,3270820,137766,+42.0641755,-75.4229194,139,Polygon
02391640,3620379,Dering Harbor village,C1,A,636236,34459,+41.0921774,-72.3413280,140,Polygon
02391641,3620390,DeRuyter village,C1,A,955359,0,+42.7586689,-75.8866889,141,Polygon
02391642,3620500,Dexter village,C1,A,1723678,139862,+44.0111789,-76.0429821,142,Polygon
02391643,3620698,Dobbs Ferry village,C1,A,6274830,1948211,+41.0099937,-73.8686359,143,Polygon
02391644,3620731,Dolgeville village,C1,A,4637386,112829,+43.1066959,-74.7799783,144,Polygon
02391645,3620896,Dresden village,C1,A,781586,14641,+42.6839278,-76.9570462,145,Polygon
02391646,3620951,Dryden village,C1,A,4548840,35009,+42.4908303,-76.3013868,146,Polygon
02391647,3621050,Dundee village,C1,A,2854159,0,+42.5236126,-76.9774220,147,Polygon
00978911,3621105,Dunkirk city,C5,A,11774799,53436,+42.4805509,-79.3328983,148,Polygon
02391648,3621523,Earlville village,C1,A,2799415,0,+42.7400847,-75.5435954,149,Polygon
02391649,3621589,East Aurora village,C1,A,6503300,27925,+42.7668370,-78.6170422,150,Polygon
02391650,3622183,East Hampton village,C1,A,12352035,358523,+40.9515426,-72.1960936,151,Polygon
02391651,3622260,East Hills village,C1,A,5903176,0,+40.7958411,-73.6291760,152,Polygon
02391652,3622557,East Nassau village,C1,A,12594718,22635,+42.5389760,-73.5049759,153,Polygon
02391654,3622865,East Rochester village,C1,A,3405735,9379,+43.1122104,-77.4871756,154,Polygon
02391655,3622876,East Rockaway village,C1,A,2636667,34335,+40.6438042,-73.6671300,155,Polygon
02391656,3623052,East Syracuse village,C1,A,4039633,0,+43.0638229,-76.0697891,156,Polygon
02391657,3623217,East Williston village,C1,A,1472850,0,+40.7608497,-73.6336070,157,Polygon
02391659,3623745,Elba village,C1,A,2633362,0,+43.0768041,-78.1889085,158,Polygon
02391660,3623789,Elbridge village,C1,A,2575360,0,+43.0379359,-76.4423524,159,Polygon
02391661,3623965,Ellenville village,C1,A,22514970,224619,+41.7047438,-74.3621900,160,Polygon
02391662,3624020,Ellicottville village,C1,A,2124544,35692,+42.2748519,-78.6722833,161,Polygon
02391663,3624075,Ellisburg village,C1,A,2593307,0,+43.7351015,-76.1343878,162,Polygon
00978938,3624229,Elmira city,C5,A,18782821,845559,+42.0933876,-76.8096099,163,Polygon
02391664,3624251,Elmira Heights village,C1,A,2969214,0,+42.1266901,-76.8255662,164,Polygon
02391665,3624295,Elmsford village,C1,A,2737100,0,+41.0541144,-73.8143254,165,Polygon
02391666,3624515,Endicott village,C1,A,8272082,10399,+42.0974887,-76.0633763,166,Polygon
02390828,3624713,Esperance village,C1,A,1267388,78347,+42.7646329,-74.2573916,167,Polygon
02390829,3624823,Evans Mills village,C1,A,2115463,0,+44.0869780,-75.8077606,168,Polygon
02390830,3624867,Fabius village,C1,A,1103344,0,+42.8346657,-75.9847860,169,Polygon
02390831,3624988,Fair Haven village,C1,A,4560964,3035731,+43.3231752,-76.7046782,170,Polygon
02390832,3625076,Fairport village,C1,A,4091906,95560,+43.0994653,-77.4430687,171,Polygon
02390833,3625164,Falconer village,C1,A,2794447,0,+42.1190693,-79.1969322,172,Polygon
02390834,3625384,Farmingdale village,C1,A,2833877,0,+40.7328076,-73.4467594,173,Polygon
02390835,3625428,Farnham village,C1,A,3125649,0,+42.5950644,-79.0808594,174,Polygon
02390836,3625527,Fayetteville village,C1,A,4492384,0,+43.0307939,-75.9983610,175,Polygon
02390837,3625967,Fishkill village,C1,A,2154279,10296,+41.5339080,-73.8931308,176,Polygon
02390838,3626209,Fleischmanns village,C1,A,1696437,37682,+42.1549252,-74.5348265,177,Polygon
02390839,3626264,Floral Park village,C1,A,3680302,34951,+40.7219521,-73.7028241,178,Polygon
02390840,3626319,Florida village,C1,A,5831248,10909,+41.3306407,-74.3542019,179,Polygon
02390841,3626352,Flower Hill village,C1,A,4175019,0,+40.8074950,-73.6755675,180,Polygon
02390842,3626462,Fonda village,C1,A,1396714,179299,+42.9533835,-74.3728689,181,Polygon
02390844,3626704,Fort Ann village,C1,A,739556,21643,+43.4157311,-73.4905129,182,Polygon
02390845,3626770,Fort Edward village,C1,A,4562919,392264,+43.2686175,-73.5826172,183,Polygon
02390846,3626880,Fort Johnson village,C1,A,1915198,278935,+42.9580226,-74.2363420,184,Polygon
02390847,3626924,Fort Plain village,C1,A,3482391,146979,+42.9326583,-74.6268040,185,Polygon
02390848,3627188,Frankfort village,C1,A,2625522,44685,+43.0377535,-75.0715825,186,Polygon
02390849,3627221,Franklin village,C1,A,877667,17201,+42.3407834,-75.1680210,187,Polygon
02390850,3627331,Franklinville village,C1,A,2849025,0,+42.3347456,-78.4547656,188,Polygon
02390851,3627419,Fredonia village,C1,A,13303985,0,+42.4406582,-79.3319004,189,Polygon
02390852,3627485,Freeport village,C1,A,11857374,757064,+40.6524070,-73.5849926,190,Polygon
02390853,3627529,Freeville village,C1,A,2741099,96536,+42.5084100,-76.3471618,191,Polygon
00978979,3627815,Fulton city,C5,A,10161074,2694816,+43.3191638,-76.4197385,192,Polygon
02390854,3627859,Fultonville village,C1,A,1235544,110335,+42.9462289,-74.3697781,193,Polygon
02390855,3627969,Gainesville village,C1,A,2216770,0,+42.6414941,-78.1346587,194,Polygon
02390856,3628101,Galway village,C1,A,662979,0,+43.0185160,-74.0318378,195,Polygon
02390857,3628178,Garden City village,C1,A,13799905,71483,+40.7257555,-73.6453981,196,Polygon
02390858,3628618,Geneseo village,C1,A,7379703,0,+42.7990200,-77.8095480,197,Polygon
00978992,3628640,Geneva city,C5,A,10914565,4225907,+42.8634882,-76.9827223,198,Polygon
02390859,3628959,Gilbertsville village,C1,A,2596844,0,+42.4693300,-75.3226094,199,Polygon
00979003,3629113,Glen Cove city,C5,A,17243917,32598438,+40.8847565,-73.6447811,200,Polygon
